[1/4] Creating LuaState...
[2/4] Opening standard library...
[3/4] Loading source (parse + compile)...
[cg_emit_eq] e1=NonReloc info=6 e2=NonReloc info=7 r1=6 r2=7 freereg=8 nactvar=5 line=109
[cg_emit_eq] e1=NonReloc info=6 e2=NonReloc info=7 r1=6 r2=7 freereg=8 nactvar=5 line=110
[cg_emit_eq] e1=NonReloc info=6 e2=NonReloc info=7 r1=6 r2=7 freereg=8 nactvar=5 line=111
[cg_emit_eq] e1=NonReloc info=6 e2=NonReloc info=7 r1=6 r2=7 freereg=8 nactvar=5 line=112
[cg_emit_eq] e1=NonReloc info=6 e2=NonReloc info=7 r1=6 r2=7 freereg=8 nactvar=5 line=113
[cg_emit_eq] e1=NonReloc info=7 e2=NonReloc info=8 r1=7 r2=8 freereg=9 nactvar=6 line=127
[cg_emit_eq] e1=NonReloc info=7 e2=NonReloc info=8 r1=7 r2=8 freereg=9 nactvar=6 line=128
[cg_emit_eq] e1=NonReloc info=7 e2=NonReloc info=8 r1=7 r2=8 freereg=9 nactvar=6 line=129
[cg_emit_eq] e1=NonReloc info=9 e2=NonReloc info=10 r1=9 r2=10 freereg=11 nactvar=8 line=140
[cg_emit_eq] e1=NonReloc info=10 e2=KInt info=0 r1=10 r2=138 freereg=11 nactvar=9 line=148
[cg_emit_eq] e1=NonReloc info=10 e2=NonReloc info=11 r1=10 r2=11 freereg=12 nactvar=9 line=150
[cg_emit_eq] e1=NonReloc info=10 e2=NonReloc info=11 r1=10 r2=11 freereg=12 nactvar=9 line=151
[cg_emit_eq] e1=NonReloc info=10 e2=NonReloc info=11 r1=10 r2=11 freereg=12 nactvar=9 line=152
[cg_emit_eq] e1=NonReloc info=10 e2=NonReloc info=11 r1=10 r2=11 freereg=12 nactvar=9 line=153
[cg_emit_eq] e1=NonReloc info=10 e2=NonReloc info=11 r1=10 r2=11 freereg=12 nactvar=9 line=154
[cg_emit_eq] e1=NonReloc info=10 e2=NonReloc info=11 r1=10 r2=11 freereg=12 nactvar=9 line=155
[cg_emit_eq] e1=NonReloc info=10 e2=NonReloc info=11 r1=10 r2=11 freereg=12 nactvar=9 line=156
[cg_emit_eq] e1=NonReloc info=10 e2=NonReloc info=11 r1=10 r2=11 freereg=12 nactvar=9 line=157
[cg_emit_eq] e1=NonReloc info=10 e2=NonReloc info=11 r1=10 r2=11 freereg=12 nactvar=9 line=158
[cg_emit_eq] e1=NonReloc info=10 e2=NonReloc info=11 r1=10 r2=11 freereg=12 nactvar=9 line=161
[cg_emit_eq] e1=NonReloc info=10 e2=NonReloc info=11 r1=10 r2=11 freereg=12 nactvar=9 line=162
[cg_emit_eq] e1=NonReloc info=10 e2=NonReloc info=11 r1=10 r2=11 freereg=12 nactvar=9 line=163
[cg_emit_eq] e1=NonReloc info=10 e2=KInt info=0 r1=10 r2=128 freereg=11 nactvar=9 line=165
[cg_emit_eq] e1=NonReloc info=9 e2=NonReloc info=15 r1=9 r2=15 freereg=16 nactvar=14 line=167
[cg_emit_eq] e1=NonReloc info=10 e2=NonReloc info=15 r1=10 r2=15 freereg=16 nactvar=14 line=167
[cg_emit_eq] e1=NonReloc info=11 e2=NonReloc info=15 r1=11 r2=15 freereg=16 nactvar=14 line=167
[cg_emit_eq] e1=NonReloc info=12 e2=NonReloc info=15 r1=12 r2=15 freereg=16 nactvar=14 line=167
[cg_emit_eq] e1=NonReloc info=13 e2=NonReloc info=15 r1=13 r2=15 freereg=16 nactvar=14 line=167
[cg_emit_eq] e1=NonReloc info=9 e2=NonReloc info=15 r1=9 r2=15 freereg=16 nactvar=14 line=169
[cg_emit_eq] e1=NonReloc info=10 e2=NonReloc info=15 r1=10 r2=15 freereg=16 nactvar=14 line=169
