[1/4] Creating LuaState...
[2/4] Opening standard library...
[3/4] Loading source (parse + compile)...
[reserve_reg] r=13 new_freereg=14 nactvar=12 line=676 pc=4221
[reserve_reg] r=14 new_freereg=15 nactvar=12 line=676 pc=4223
[reserve_reg] r=15 new_freereg=16 nactvar=12 line=676 pc=4223
[reserve_reg] r=15 new_freereg=16 nactvar=12 line=676 pc=4225
[reserve_reg] r=16 new_freereg=17 nactvar=12 line=676 pc=4225
[reserve_reg] r=16 new_freereg=17 nactvar=12 line=676 pc=4227
[reserve_reg] r=16 new_freereg=17 nactvar=12 line=676 pc=4228
[reserve_reg] r=15 new_freereg=16 nactvar=12 line=676 pc=4231
[reserve_reg] r=16 new_freereg=17 nactvar=12 line=676 pc=4232
[reserve_reg] r=17 new_freereg=18 nactvar=12 line=676 pc=4232
[reserve_reg] r=17 new_freereg=18 nactvar=12 line=676 pc=4234
[reserve_reg] r=18 new_freereg=19 nactvar=12 line=676 pc=4234
[reserve_reg] r=18 new_freereg=19 nactvar=12 line=676 pc=4236
[reserve_reg] r=18 new_freereg=19 nactvar=12 line=676 pc=4237
[reserve_reg] r=17 new_freereg=18 nactvar=12 line=676 pc=4240
[cg_free_reg-bug] reg=15 freereg=17 nactvar=12 pc=4241 previousline=676

thread 'main' (9872819) panicked at crates/lua-parse/src/lib.rs:639:9:
assertion `left == right` failed
  left: 15
 right: 16
note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace
[panic] assertion `left == right` failed
  left: 15
 right: 16
